code,faction,name,folder,unitgroup,movementclass,buildtime,metalcost,energycost,health,speed,maxacc,maxdec,maxslope,maxwaterdepth,sightdistance,turnrate,turninplace,canmove,techlevel,mc_BOT,mc_ABOT,mc_TANK,mc_ATANK,mc_HOVER,mc_COMMANDER,mc_OTHER,n_weapons,best_dps,total_dps,max_range,min_range,max_aoe,has_aa,has_anti_sub,has_paralyzer,weapon_velocity,damage_vs_air,trajectory_high,wt_cannon,wt_beamlaser,wt_lasercannon,wt_missilelauncher,wt_starburstlauncher,wt_torpedolauncher,wt_emgcannon,wt_aircraftbomb,wt_flame,wt_dgun,wt_shield,wt_other,range_per_speed,dps_per_metal,health_per_metal,range_tier,weapon_velocity_low
corlevlr,Cortex,Pounder,CorVehicles,weapon,TANK3,3000.0,220.0,2600.0,1490.0,40.5,0.01654,0.03308,17.0,12.0,286.0,292.80002,1,1,1,0,0,1,0,0,0,0,1,105.56,105.56,315.0,315.0,144.0,0,0,0,550.0,0.142,0,1,0,0,0,0,0,0,0,0,0,0,0,7.778,0.4798,6.773,0,1
cormabm,Cortex,Saviour,CorVehicles,antinuke,TANK3,52000.0,1250.0,32000.0,870.0,51.0,0.03721,0.07443,10.0,0,450.0,520.29999,1,1,2,0,0,1,0,0,0,0,1,250.0,250.0,72000.0,72000.0,420.0,0,0,0,6000.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1411.765,0.2,0.696,3,0
cormart,Cortex,Quaker,CorVehicles,weapon,TANK3,9000.0,400.0,4400.0,1200.0,58.0,0.03,0.06,12.0,0,299.0,270.0,1,1,2,0,0,1,0,0,0,0,1,84.0,84.0,800.0,800.0,144.0,0,0,0,349.0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,13.793,0.21,3.0,1,1
cormist,Cortex,Lasher,CorVehicles,weaponaa,TANK3,3440.0,155.0,2400.0,860.0,52.0,0.02208,0.04416,16.0,12.0,620.0,370.0,1,1,1,0,0,1,0,0,0,0,2,25.2,25.6,700.0,575.0,48.0,1,0,0,680.0,1.875,0,0,0,0,2,0,0,0,0,0,0,0,0,13.462,0.1626,5.548,1,0
corparrow,Cortex,Poison Arrow,CorVehicles,weapon,ATANK3,26000.0,1050.0,21000.0,6300.0,51.0,0.0266,0.05321,12.0,255.0,500.0,400.0,1,1,2,0,0,0,1,0,0,0,1,205.56,205.56,575.0,575.0,160.0,0,0,0,300.0,0.162,0,1,0,0,0,0,0,0,0,0,0,0,0,11.275,0.1958,6.0,1,1
corraid,Cortex,Brute,CorVehicles,weapon,TANK3,3310.0,235.0,2400.0,1970.0,72.9,0.04056,0.08113,10.0,12.0,325.0,330.0,1,1,1,0,0,1,0,0,0,0,1,83.14,83.14,350.0,350.0,48.0,0,0,0,225.0,0.186,0,1,0,0,0,0,0,0,0,0,0,0,0,4.801,0.3538,8.383,0,1
correap,Cortex,Tiger,CorVehicles,weapon,MTANK3,16000.0,665.0,10000.0,5300.0,70.5,0.0362,0.0724,12.0,100.0,462.0,347.0,1,1,2,0,0,1,0,0,0,0,1,155.71,155.71,410.0,410.0,64.0,0,0,0,380.0,0.321,0,1,0,0,0,0,0,0,0,0,0,0,0,5.816,0.2342,7.97,1,1
corsala,Cortex,Salamander,CorVehicles,weapon,ATANK3,10500.0,350.0,7000.0,2100.0,72.0,0.05125,0.1025,12.0,255.0,385.0,487.0,1,1,2,0,0,0,1,0,0,0,1,16.36,16.36,340.0,340.0,42.0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.722,0.0467,6.0,0,0
corsent,Cortex,Fury,CorVehicles,aa,TANK3,16000.0,470.0,10500.0,2700.0,69.0,0.05823,0.11647,14.0,12.0,338.0,591.79999,1,1,2,0,0,1,0,0,0,0,2,272.73,272.73,800.0,775.0,140.0,1,0,0,1550.0,1.0,0,2,0,0,0,0,0,0,0,0,0,0,0,11.594,0.5803,5.745,1,0
cortrem,Cortex,Tremor,CorVehicles,weapon,HTANK4,43000.0,1850.0,49000.0,3000.0,40.5,0.0098,0.0196,14.0,15.0,351.0,169.39999,1,1,2,0,0,1,0,0,0,0,1,400.0,400.0,1470.0,1470.0,210.0,0,0,0,420.0,0.095,0,1,0,0,0,0,0,0,0,0,0,0,0,36.296,0.2162,1.622,2,1
corvroc,Cortex,Negotiator,CorVehicles,weapon,HTANK4,20000.0,880.0,6700.0,1390.0,33.0,0.02489,0.04978,16.0,12.0,221.0,520.29999,1,1,2,0,0,1,0,0,0,0,1,106.25,106.25,1310.0,1310.0,150.0,0,0,0,415.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,39.697,0.1207,1.58,2,1
corwolv,Cortex,Wolverine,CorVehicles,weapon,TANK3,3550.0,170.0,2500.0,750.0,48.0,0.02293,0.04585,10.0,8.0,299.0,466.0,1,1,1,0,0,1,0,0,0,0,1,42.25,42.25,710.0,710.0,113.0,0,0,0,580.0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,14.792,0.2485,4.412,1,1
